carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados
TF-1,Int TF-4,1,DEPURADORA S/C,113.62,11836,12529,24365,1058
TF-1,Radazul,11,AÑAZA,97.0,50773,47997,98770,4016
TF-1,Polígono Güímar,21,BARRANCO HONDO,92.62,43626,48015,91641,4006
TF-1,Pto Güimar,27,GÜÍMAR,103.15,28723,29876,58599,3690
TF-1,Arico,29,TÚNELES GÜÍMAR,97.01,20607,24883,45490,4742
TF-1,Granadilla,41,EL PORÍS DE ABONA,105.86,20267,21499,41766,2740
TF-1,Aeropuerto Sur,47,SAN ISIDRO,81.45,25304,23636,48940,3423
TF-1,Guaza,49,AEROPUERTO SUR,92.56,38389,32669,71058,3976
TF-1,Cristianos,57,LOS CRISTIANOS,100.97,42356,45957,88313,4153
TF-1,Adeje,65,FAÑABE,88.39,37360,36101,73461,1938
TF-1,Bajada Fonsalia,66,Los Menores,87.42,14667,15087,29754,828
TF-1,Enlace Chio,67,Guía de Isora,86.6,10155,7774,17929,273
TF-1,Santiago del Teide,68,TUNEL DEL BICHO,106.45,7087,5090,12177,291
TF-11,San Andrés,140,DARSENA PESQUERA,74.67,6549,5846,12395,353
TF-111,Carretera de Ifara,377,MIR. DE LOS CAMPITOS,0.0,,,843,17
TF-111,Valle Jiménez,379,EMBALSE LOS CAMPITOS,0.0,,,1775,35
TF-111,Camino de la Piterita,381,VALLES TABARES,0.0,,,3097,62
TF-111,La Cuesta,383,LA PITERITA V. TABARES,0.0,,,5495,109
TF-113,Vía de Ronda,385,CAMINO LAS PERAS,48.78,2645,942,3587,188
TF-113,Las Mercedes,387,JARDINA,0.0,,,6107,122
TF-114,Final Pico del Inglés,389,PICO DEL INGLÉS,0.0,,,584,12
TF-12,Acceso a Taganana,143,SAN ANDRES ROSA GRANDE,41.5,953,859,1812,135
TF-12,Acceso a Chamorga,145,PAS. CRUCE TAGANANA,0.0,,,901,26
TF-12,Acceso a Afur,147,ANTES CRUCE AFUR,0.0,,,1143,33
TF-12,Acceso a las Carboneras,149,ANTES CRU.CARBONERAS,0.0,,,1317,26
TF-12,Pico del Inglés,151,ANTES CRU.PICO INGLE,0.0,,,1547,31
TF-12,Acceso a los Batanes,153,CRUZ DEL CARMEN,28.13,1342,1185,2527,176
TF-12,Las Mercedes,155,CANTERAS (RISQUETES),36.42,1433,1502,2935,198
TF-12,Las Canteras,157,LAS CANTERAS,0.0,,,4349,87
TF-121,Cantera de Piqué,393,ANTES DEL SUCULUM,0.0,,,2311,66
TF-121,Acceso a Las Gaviotas,395,LAS GAVIOTAS,0.0,,,1598,46
TF-121,Igueste de San Andrés,397,IGUESTE DE SAN ANDRES,0.0,,,884,25
TF-123,Acceso a Lomo de las Bodegas,401,BAILADERO-CHAMORGA,0.0,,,420,12
TF-123,Chamorga,403,CHAMORGA,0.0,,,192,5
TF-125,Lomo de las Bodegas,405,LOMO DE LAS BODEGAS,0.0,,,94,3
TF-13,Mercado de La Laguna,159,VIA RONDA,62.41,15227,15843,31070,1205
TF-13,Las Mercedes,163,EL BRONCO,0.0,,,22235,442
TF-13,Acceso a La Laguna,165,LA VEGA,0.0,10408,9082,19490,388
TF-13,Las Canteras,167,LAS CANTERAS,0.0,,,22975,457
TF-13,Pedro Alvarez,169,CRUCE PEDRO ALVAREZ,0.0,,,19610,390
TF-13,Tegueste,171,TEGUESTE (PAÑUELAS),52.18,9194,9550,18744,373
TF-13,Variante Tejina,173,TEJINA (ASOMADA),0.0,,,17291,344
TF-13,Tejina,174,TEJINA (VARIANTE),49.63,5631,5356,10987,126
TF-13,Bajamar,175,TEJINA (CH.MANISERO),52.41,7829,7780,15609,389
TF-13,Punta del Hidalgo,177,BAJAMAR,0.0,,,7879,157
TF-134,Taganana,407,TAGANANA ANTES TÚNEL,38.98,811,798,1609,87
TF-134,Benijos,409,PLAYA ALMACIGA,0.0,,,1317,38
TF-136,Afur,415,A ROQUE NEGRO,0.0,,,350,10
TF-138,Taborno,417,A TABORNO,0.0,,,205,6
TF-141,Pedro Alvarez,419,A PEDRO ALVAREZ,0.0,,,1767,35
TF-143,El Batán,421,A EL BATAN,0.0,,,446,9
TF-145,Aceso a Taborno,423,PICO DEL INGLES,0.0,,,521,10
TF-145,Las Carboneras,425,A LAS CARBONERAS,0.0,,,361,10
TF-152,Enlace del Aeropuerto,426,SAN LAZARO,50.48,6018,10552,16570,843
TF-152,Aeropuerto de Los Rodeos,427,HOYA D. CAMELLO-LAGUNA,52.97,4489,5453,9942,457
TF-152,Acceso a el Portezuelo,429,PORTEZUELO ALTO,0.0,7447,8815,16262,386
TF-152,Enlace TF-5,431,ERMITA CRUZ CHICA,54.37,6213,5589,11802,280
TF-152,Acceso a Guamasa,435,ANTES CRUCE TF-156,0.0,,,18777,445
TF-152,Acceso a Aguagarcía,437,LA CARIDAD,0.0,,,8287,197
TF-152,El Sauzal,445,EL SAUZAL,0.0,,,6117,145
TF-154,Acceso a depósito regulador de Valle Mol,447,EL PORTEZUELO,0.0,4877,4820,9697,230
TF-154,Tegueste,449,EL SOCORRO,0.0,,,5934,190
TF-156,Camino de acceso a Garimba,451,GUAMASA- BOQUERÓN,0.0,,,10231,243
TF-156,Valle Guerra,453,BOQUERÓN- INST. ICIA,0.0,,,4233,135
TF-16,Valle Guerra,185,DEPURADORA (VALLE GUERRA),54.84,4011,4157,8168,199
TF-16,Acceso a Guamasa,183,VALLE GUERRA-CABRERA,59.67,4663,4452,9115,247
TF-16,Acceso al Pris,181,TACORONTE-CALLEJON G.,13.36,5120,4762,9882,316
TF-16,Tacoronte,179,TACORONTE-GUARDIA CIVIL,39.42,5211,6727,11938,513
TF-161,Acceso a Jover,455,DESTILERIA COCAL,0.0,,,2722,87
TF-161,La Barranquera,457,BAJADA SALINA-V. GUERRA,0.0,,,986,32
TF-163,Acceso a Tacoronte,459,ANTES CRUCE EL PRIS,0.0,,,1026,33
TF-163,El Pris,461,EL PRIS CLUB TAGORO,0.0,,,1753,56
TF-165,Acceso a Mesa del Mar,463,ESC. AGRARIA TACORONTE,0.0,,,2917,93
TF-165,Juán Fernádez,465,JUAN FERNANDEZ,0.0,,,1431,46
TF-174,La Victoria,469,PAS. A PUNTILLO SOL,0.0,,,2373,96
TF-176,El Rincón,471,A EL BOYUYO,0.0,,,1455,59
TF-2,Muñeco Nieve,69,CUEVAS BLANCAS,64.68,31331,30352,61683,1798
TF-2,TF-5,75,AL CAMPO LA LAGUNA,54.81,25617,24607,50224,1686
TF-21,TF-211,187,MIRADOR DE HUMBOLDT,0.0,,,6236,252
TF-21,Acceso a San Antonio,189,OROTAVA LA FLORIDA,0.0,,,13568,568
TF-21,Acceso a Benijos,191,LA OROTAVA.(CHASNA),0.0,,,3095,130
TF-21,El Portillo,193,LA CALDERA,0.0,,,1541,65
TF-21,Boca de Tauce,195,TELEFÉRICO,51.97,1610,706,2316,121
TF-21,Vilaflor,197,ANTES DE VILAFLOR,0.0,,,1304,24
TF-21,Acceso a el Frontón,199,VILAFLOR-EL PILÓN,0.0,,,885,21
TF-21,Cruz de Tea,200,CRUZ DE TEA,0.0,,,355,8
TF-21,Granadilla,201,GRANADILLA-CAMPO FUTBOL,0.0,,,1490,35
TF-211,Orotava,485,RAMAL A LA OROTAVA,49.65,12131,14216,26347,1112
TF-213,Autopista del Norte,487,INICIO TF-213 LA VICTORIA,0.0,,,3234,131
TF-213,Santa Ursula,489,EL CAÑÓN-SANTA ÚRSULA,0.0,,,6642,268
TF-215,Final Zona Urbana de La Matanza,491,LA MATANZA MAJUELOS,0.0,,,3093,125
TF-215,Autopista del Norte,493,FABRICA MÁRMOL-SAUZAL,0.0,,,675,27
TF-217,La Matanza,495,LA MATANZA FUE. LOMO,35.25,7064,6981,14045,567
TF-217,La Matanza,496,TOSCA DE GUIA-MATANZA,0.0,,,10297,416
TF-217,La Victoria,497,ANTE CRUC-TF-213-VICTORIA,0.0,,,9416,380
TF-217,Santa Ursula,499,VICTORIA PTE HIERRO,0.0,,,7475,302
TF-217,La Corujera,500,ANTES DE LA CORUJERA,0.0,,,18749,757
TF-217,Cuesta de La Villa,501,EL PINITO-SANTA URSULA,0.0,,,12037,486
TF-217,Autopista del Norte,503,CUESTA LA VILLA,0.0,,,4694,189
TF-226,El Bicho,505,ESPERANZA HUER.BICHO,0.0,,,1398,70
TF-226,Agua García,507,COLEGIO AGUAGARCIA,0.0,,,1351,32
TF-228,El Cantillo,509,AGUAGARCIA CASAS ALTAS,0.0,,,1988,47
TF-235,Cruz Chica,511,CRUZ CHICA P.CARRET,43.4,5499,5324,10823,520
TF-235,Campo de Golf,513,SUPREMA-CRUZ CHICA,45.21,3777,3610,7387,446
TF-237,Acceso a la Esperanza,515,CRUZ CHICA-EL ORTIGAL,0.0,5139,5268,10407,247
TF-237,Acceso a el Cantillo,517,BCO L. LAJAS-TACORONTE,0.0,,,5420,129
TF-237,Agua García,519,AGUAGARCIA CR.TF-228,0.0,,,5408,128
TF-24,Camino el Mataero,203,BALDIOS-PANASCA,52.83,7847,8417,16264,815
TF-24,La Esperanza,205,ESPERANZA-HORNILLO,0.0,,,8458,424
TF-24,Acceso a Las Rosas,207,LA ESPERANZA.(CASA FORESTAL),0.0,,,3250,163
TF-24,Las Raices,209,ESPERANZA CRUCE TF-276,0.0,,,2216,111
TF-24,Acceso a Arafo,211,ANTES CRUCE LOS LOROS,0.0,,,1152,58
TF-24,Izaña,213,PASADO CRUCE LOS LOROS,0.0,546,615,1161,58
TF-24,El Portillo,215,PORTILLO VIEJO LAGUNA,0.0,,,1176,49
TF-245,Arafo,523,ARAFO (LA HIDALGA),0.0,,,5874,161
TF-247,Acceso a Malpaís,525,A MALPAIS,0.0,,,1299,36
TF-247,Acceso a Las Cuevecitas,527,A LAS CUEVECITAS,0.0,,,714,20
TF-247,Araya,529,ANTES DE ARAYA,0.0,417,412,829,23
TF-247,Carretera General del Sur,531,LA PUNTA-ARAYA,0.0,,,1671,46
TF-252,Intersección TF-4122 con ramal de enlace,533,ANTES COLEG. IGUESTE,0.0,,,543,15
TF-252,Acceso a Carretera General,535,DESPUÉS COLEG. IGUESTE,0.0,,,2690,74
TF-254,Barranco Hondo,537,A BARRANCO HONDO,0.0,,,2997,82
TF-256,El Tablero,539,EL TABLERO,0.0,,,7491,251
TF-263,Geneto,543,POLVORÍN GENETO,0.0,2991,2041,5032,169
TF-265,Acceso a la Esperanza,545,LA LAGUNA C. NURIANA,0.0,,,8249,413
TF-265,Acceso al cementerio de San Luis,547,CIUDAD DEPORTIVA TEN.,0.0,,,10930,548
TF-265,Llano del Moro,549,LLANO DEL MORO,0.0,,,5876,197
TF-272,Llano del Moro,553,EL SOBRADILLO,0.0,,,6643,223
TF-272,La Esperanza,555,LLANO MORO-ESPERANZA,0.0,,,3552,178
TF-274,Escuela Hogar,557,PREVENTORIO-ESPERANZA,0.0,,,1486,74
TF-276,Las Raices,559,LAS RAICES,0.0,,,280,14
TF-28,Acceso a el Tablero,217,ANTES CRUCE S. MARIA M.,0.0,5272,4678,9950,334
TF-28,Tabaiba,220,PASANDO CRUCE EL TABLERO,0.0,,,4963,167
TF-28,Barranco Hondo,221,TABAIBA-BCO. HONDO,0.0,,,724,20
TF-28,Acceso Autopista del Sur,223,BCO. HONDO-GASOLINERA,0.0,,,3609,99
TF-28,Caletillas,224,CUESTA LAS TABLAS,0.0,,,392,11
TF-28,Igueste de Candelaría,225,PASADO ACCESO CALETILLAS,0.0,,,1147,31
TF-28,Araya,227,URB. BRILLASOL,0.0,,,1965,54
TF-28,Acceso a Candelaría,229,BARRANCO DE AROBA,0.0,,,4012,110
TF-28,Malpaís de Candelaría,231,LA PEDRERA (ARAFO),0.0,,,922,25
TF-28,La Hidalga,233,ANTES SUBIDA ARAFO,0.0,,,2384,65
TF-28,Acceso a Arafo,235,ARAFO (HIDALGA),0.0,,,15075,413
TF-28,Güímar,237,SAN FRANCISCO JAVIER,0.0,4497,5011,9508,261
TF-28,El Escobonal,239,GÜÍMAR(EL BADEN),0.0,,,2288,63
