carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados,año
TF-13,Punta del Hidalgo,177,BAJAMAR,0.0,,,7450,127,2021
TF-134,Taganana,407,TAGANANA ANTES TÚNEL,0.0,,,889,26,2021
TF-134,Benijos,409,PLAYA ALMACIGA,0.0,,,916,29,2021
TF-136,Afur,415,A ROQUE NEGRO,0.0,,,375,10,2021
TF-138,Taborno,417,A TABORNO,0.0,,,190,5,2021
TF-141,Pedro Alvarez,419,A PEDRO ALVAREZ,0.0,,,1926,38,2021
TF-143,El Batán,421,A EL BATAN,0.0,,,241,5,2021
TF-145,Aceso a Taborno,423,PICO DEL INGLES,0.0,,,420,8,2021
TF-145,Las Carboneras,425,A LAS CARBONERAS,0.0,,,309,8,2021
TF-152,Enlace del Aeropuerto,426,SAN LAZARO,52.26,5437.0,9141.0,14578,611,2021
TF-152,Aeropuerto de Los Rodeos,427,HOYA D. CAMELLO-LAGUNA,53.96,4026.0,4735.0,8761,398,2021
TF-152,Acceso a el Portezuelo,429,PORTEZUELO ALTO,47.36,7306.0,8525.0,15831,415,2021
TF-152,Enlace TF-5,431,ERMITA CRUZ CHICA,54.1,6123.0,5400.0,11523,239,2021
TF-152,Acceso a Guamasa,435,ANTES CRUCE TF-156,0.0,,,18101,375,2021
TF-152,Acceso a Aguagarcía,437,LA CARIDAD,0.0,,,7883,164,2021
TF-152,El Sauzal,445,EL SAUZAL,0.0,,,6203,129,2021
TF-154,Acceso a depósito regulador de Valle Mol,447,EL PORTEZUELO,0.0,4550.0,4318.0,8868,184,2021
TF-154,Tegueste,449,EL SOCORRO,0.0,,,5985,189,2021
TF-156,Camino de acceso a Garimba,451,GUAMASA- BOQUERÓN,0.0,,,11253,233,2021
TF-156,Valle Guerra,453,BOQUERÓN- INST. ICIA,0.0,,,4279,154,2021
TF-16,Valle Guerra,185,DEPURADORA (VALLE GUERRA),50.56,4867.0,4346.0,9213,396,2021
TF-16,Acceso a Guamasa,183,VALLE GUERRA-CABRERA,55.99,4165.0,4338.0,8503,246,2021
TF-16,Acceso al Pris,181,TACORONTE-CALLEJON G.,0.0,5163.0,4838.0,10001,175,2021
TF-16,Tacoronte,179,TACORONTE-GUARDIA CIVIL,37.44,5567.0,7114.0,12681,387,2021
TF-161,Acceso a Jover,455,DESTILERIA COCAL,0.0,,,1479,55,2021
TF-161,La Barranquera,457,BAJADA SALINA-V. GUERRA,0.0,,,783,32,2021
TF-163,Acceso a Tacoronte,459,ANTES CRUCE EL PRIS,0.0,,,1003,35,2021
TF-163,El Pris,461,EL PRIS CLUB TAGORO,0.0,,,1238,45,2021
TF-165,Acceso a Mesa del Mar,463,ESC. AGRARIA TACORONTE,0.0,,,2473,88,2021
TF-165,Juán Fernádez,465,JUAN FERNANDEZ,0.0,,,1238,36,2021
TF-174,La Victoria,469,PAS. A PUNTILLO SOL,0.0,,,2249,65,2021
TF-176,El Rincón,471,A EL BOYUYO,0.0,,,1667,42,2021
TF-2,Muñeco Nieve,69,CUEVAS BLANCAS,64.13,25426.0,28259.0,53685,1664,2021
TF-2,TF-5,75,AL CAMPO LA LAGUNA,55.69,24452.0,23988.0,48440,1504,2021
TF-21,TF-211,187,MIRADOR DE HUMBOLDT,0.0,,,6373,145,2021
TF-21,Acceso a San Antonio,189,OROTAVA LA FLORIDA,50.41,5995.0,7684.0,13679,444,2021
TF-21,Acceso a Benijos,191,LA OROTAVA.(CHASNA),0.0,,,3351,121,2021
TF-21,El Portillo,193,LA CALDERA,0.0,,,1756,30,2021
TF-21,Boca de Tauce,195,TELEFÉRICO,52.86,1173.0,1108.0,2281,127,2021
TF-21,Vilaflor,197,ANTES DE VILAFLOR,0.0,,,941,6,2021
TF-21,Acceso a el Frontón,199,VILAFLOR-EL PILÓN,0.0,,,890,20,2021
TF-21,Cruz de Tea,200,CRUZ DE TEA,0.0,,,326,7,2021
TF-21,Granadilla,201,GRANADILLA-CAMPO FUTBOL,0.0,,,1553,39,2021
TF-211,Orotava,485,RAMAL A LA OROTAVA,0.0,13679.0,12131.0,25810,292,2021
TF-213,Autopista del Norte,487,INICIO TF-213 LA VICTORIA,0.0,,,3118,88,2021
TF-213,Santa Ursula,489,EL CAÑÓN-SANTA ÚRSULA,0.0,,,7524,189,2021
TF-215,Final Zona Urbana de La Matanza,491,LA MATANZA MAJUELOS,0.0,,,4457,145,2021
TF-215,Autopista del Norte,493,FABRICA MÁRMOL-SAUZAL,0.0,,,633,18,2021
TF-217,La Matanza,496,TOSCA DE GUIA-MATANZA,0.0,,,10127,212,2021
TF-217,La Victoria,497,ANTE CRUC-TF-213-VICTORIA,0.0,,,9250,256,2021
TF-217,Santa Ursula,499,VICTORIA PTE HIERRO,0.0,,,7639,216,2021
TF-217,La Corujera,500,ANTES DE LA CORUJERA,0.0,,,18695,416,2021
TF-217,Cuesta de La Villa,501,EL PINITO-SANTA URSULA,0.0,,,11638,289,2021
TF-217,Autopista del Norte,503,CUESTA LA VILLA,0.0,,,4743,156,2021
TF-226,El Bicho,505,ESPERANZA HUER.BICHO,0.0,,,1202,45,2021
TF-226,Agua García,507,COLEGIO AGUAGARCIA,0.0,,,1213,25,2021
TF-228,El Cantillo,509,AGUAGARCIA CASAS ALTAS,0.0,,,1679,35,2021
TF-235,Cruz Chica,511,CRUZ CHICA P.CARRET,44.59,5298.0,4667.0,9965,314,2021
TF-235,Campo de Golf,513,SUPREMA-CRUZ CHICA,46.01,3253.0,2874.0,6127,182,2021
