carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados
TF-1,Int TF-4,1,DEPURADORA S/C,83.07,10842,12490,23332,677
TF-1,Radazul,11,AÑAZA,96.53,51514,47936,99450,4149
TF-1,Polígono Güímar,21,BARRANCO HONDO,91.97,47421,51296,98717,4157
TF-1,Pto Güimar,27,GÜÍMAR,102.84,28643,31683,60326,3930
TF-1,Arico,29,TÚNELES GÜÍMAR,102.79,17865,20222,38087,3696
TF-1,Granadilla,41,EL PORÍS DE ABONA,106.3,20244,22771,43015,2587
TF-1,Aeropuerto Sur,47,SAN ISIDRO,81.55,27089,25444,52533,2993
TF-1,Guaza,49,AEROPUERTO SUR,90.08,40364,39820,80184,4432
TF-1,Cristianos,57,LOS CRISTIANOS,102.18,42017,47669,89686,4418
TF-1,Adeje,65,FAÑABE,89.74,39201,37630,76831,2135
TF-1,Bajada Fonsalia,66,Los Menores,88.84,16745,17402,34147,974
TF-1,Enlace Chio,67,Guía de Isora,86.67,11990,8632,20622,225
TF-1,Santiago del Teide,68,TUNEL DEL BICHO,86.05,9986,9573,19559,134
TF-11,San Andrés,140,DARSENA PESQUERA,75.63,6818,4619,11437,421
TF-111,Carretera de Ifara,377,MIR. DE LOS CAMPITOS,0.0,,,818,18
TF-111,Valle Jiménez,379,EMBALSE LOS CAMPITOS,0.0,,,1763,39
TF-111,Camino de la Piterita,381,VALLES TABARES,0.0,,,3043,68
TF-111,La Cuesta,383,LA PITERITA V. TABARES,0.0,,,5218,117
TF-113,Vía de Ronda,385,CAMINO LAS PERAS,47.42,2245,1899,4144,232
TF-113,Las Mercedes,387,JARDINA,0.0,,,5856,131
TF-114,Final Pico del Inglés,389,PICO DEL INGLÉS,0.0,,,625,14
TF-12,Acceso a Taganana,143,SAN ANDRES ROSA GRANDE,40.33,795,717,1512,95
TF-12,Acceso a Chamorga,145,PAS. CRUCE TAGANANA,0.0,,,798,29
TF-12,Acceso a Afur,147,ANTES CRUCE AFUR,0.0,,,964,35
TF-12,Acceso a las Carboneras,149,ANTES CRU.CARBONERAS,0.0,,,1232,28
TF-12,Pico del Inglés,151,ANTES CRU.PICO INGLE,0.0,,,1568,35
TF-12,Acceso a los Batanes,153,CRUZ DEL CARMEN,0.0,,,2465,55
TF-12,Las Mercedes,155,CANTERAS (RISQUETES),0.0,,,2943,66
TF-12,Las Canteras,157,LAS CANTERAS,0.0,,,4576,102
TF-121,Cantera de Piqué,393,ANTES DEL SUCULUM,0.0,,,1932,71
TF-121,Acceso a Las Gaviotas,395,LAS GAVIOTAS,0.0,,,1695,62
TF-121,Igueste de San Andrés,397,IGUESTE DE SAN ANDRES,0.0,,,746,27
TF-123,Acceso a Lomo de las Bodegas,401,BAILADERO-CHAMORGA,0.0,,,286,11
TF-123,Chamorga,403,CHAMORGA,0.0,,,145,5
TF-125,Lomo de las Bodegas,405,LOMO DE LAS BODEGAS,0.0,,,54,2
TF-13,Mercado de La Laguna,159,VIA RONDA,63.16,15754,15697,31451,1126
TF-13,Las Mercedes,163,EL BRONCO,0.0,,,22582,506
TF-13,Acceso a La Laguna,165,LA VEGA,0.0,,,19115,428
TF-13,Las Canteras,167,LAS CANTERAS,0.0,,,22059,494
TF-13,Pedro Alvarez,169,CRUCE PEDRO ALVAREZ,0.0,,,27777,622
TF-13,Tegueste,171,TEGUESTE (PAÑUELAS),52.86,8180,9817,17997,403
TF-13,Variante Tejina,173,TEJINA (ASOMADA),0.0,,,16746,375
TF-13,Tejina,174,TEJINA (VARIANTE),48.64,5333,4975,10308,305
TF-13,Bajamar,175,TEJINA (CH.MANISERO),0.0,,,13752,308
TF-13,Punta del Hidalgo,177,BAJAMAR,0.0,,,6955,156
TF-134,Taganana,407,TAGANANA ANTES TÚNEL,33.6,639,636,1275,51
TF-134,Benijos,409,PLAYA ALMACIGA,0.0,,,1042,38
TF-136,Afur,415,A ROQUE NEGRO,0.0,,,300,11
TF-138,Taborno,417,A TABORNO,0.0,,,166,6
TF-141,Pedro Alvarez,419,A PEDRO ALVAREZ,0.0,,,2114,47
TF-143,El Batán,421,A EL BATAN,0.0,,,454,10
TF-145,Aceso a Taborno,423,PICO DEL INGLES,0.0,,,438,10
TF-145,Las Carboneras,425,A LAS CARBONERAS,0.0,,,257,9
TF-152,Enlace del Aeropuerto,426,SAN LAZARO,0.0,5803,10503,16306,312
TF-152,Aeropuerto de Los Rodeos,427,HOYA D. CAMELLO-LAGUNA,52.66,4220,5312,9532,593
TF-152,Acceso a el Portezuelo,429,PORTEZUELO ALTO,0.0,7742,8699,16441,315
TF-152,Enlace TF-5,431,ERMITA CRUZ CHICA,37.17,6308,5595,11903,228
TF-152,Acceso a Guamasa,435,ANTES CRUCE TF-156,0.0,,,19032,365
TF-152,Acceso a Aguagarcía,437,LA CARIDAD,0.0,,,8378,160
TF-152,El Sauzal,445,EL SAUZAL,0.0,,,5816,111
TF-154,Acceso a depósito regulador de Valle Mol,447,EL PORTEZUELO,0.0,5060,4649,9709,186
TF-154,Tegueste,449,EL SOCORRO,0.0,,,6271,140
TF-156,Camino de acceso a Garimba,451,GUAMASA- BOQUERÓN,0.0,,,11727,225
TF-156,Valle Guerra,453,BOQUERÓN- INST. ICIA,0.0,,,4658,89
TF-16,Valle Guerra,185,DEPURADORA (VALLE GUERRA),0.0,,,8680,194
TF-16,Acceso a Guamasa,183,VALLE GUERRA-CABRERA,0.0,,,9504,213
TF-16,Tacoronte,179,TACORONTE-GUARDIA CIVIL,36.05,6021,7591,13612,433
TF-161,Acceso a Jover,455,DESTILERIA COCAL,0.0,,,1644,37
TF-161,La Barranquera,457,BAJADA SALINA-V. GUERRA,0.0,,,742,17
TF-163,Acceso a Tacoronte,459,ANTES CRUCE EL PRIS,0.0,,,1015,23
TF-163,El Pris,461,EL PRIS CLUB TAGORO,0.0,,,1460,33
TF-165,Acceso a Mesa del Mar,463,ESC. AGRARIA TACORONTE,0.0,,,2522,56
TF-165,Juán Fernádez,465,JUAN FERNANDEZ,0.0,,,1247,28
TF-174,La Victoria,469,PAS. A PUNTILLO SOL,0.0,,,1921,73
TF-176,El Rincón,471,A EL BOYUYO,0.0,,,1946,74
TF-2,Muñeco Nieve,69,CUEVAS BLANCAS,63.67,31833,30157,61990,2231
TF-2,TF-5,75,AL CAMPO LA LAGUNA,48.88,27366,27542,54908,1258
TF-21,TF-211,187,MIRADOR DE HUMBOLDT,0.0,,,5392,206
TF-21,Acceso a San Antonio,189,OROTAVA LA FLORIDA,0.0,,,13708,365
TF-21,Acceso a Benijos,191,LA OROTAVA.(CHASNA),0.0,,,3561,95
TF-21,El Portillo,193,LA CALDERA,0.0,,,1780,47
TF-21,Boca de Tauce,195,TELEFÉRICO,53.59,1298,1255,2553,129
TF-21,Vilaflor,197,ANTES DE VILAFLOR,0.0,,,1585,30
TF-21,Acceso a el Frontón,199,VILAFLOR-EL PILÓN,0.0,,,1007,27
TF-21,Cruz de Tea,200,CRUZ DE TEA,0.0,,,465,12
TF-21,Granadilla,201,GRANADILLA-CAMPO FUTBOL,0.0,,,1683,45
TF-211,Orotava,485,RAMAL A LA OROTAVA,0.0,,,27410,730
TF-213,Autopista del Norte,487,INICIO TF-213 LA VICTORIA,0.0,,,3298,126
TF-213,Santa Ursula,489,EL CAÑÓN-SANTA ÚRSULA,0.0,,,6773,259
TF-215,Final Zona Urbana de La Matanza,491,LA MATANZA MAJUELOS,0.0,,,3127,119
TF-215,Autopista del Norte,493,FABRICA MÁRMOL-SAUZAL,0.0,,,605,23
TF-217,La Matanza,495,LA MATANZA FUE. LOMO,33.68,7280,7041,14321,547
TF-217,La Matanza,496,TOSCA DE GUIA-MATANZA,0.0,,,10499,401
TF-217,La Victoria,497,ANTE CRUC-TF-213-VICTORIA,0.0,,,8168,312
TF-217,Santa Ursula,499,VICTORIA PTE HIERRO,0.0,,,7622,291
TF-217,La Corujera,500,ANTES DE LA CORUJERA,0.0,,,19118,730
TF-217,Cuesta de La Villa,501,EL PINITO-SANTA URSULA,0.0,,,10615,329
TF-217,Autopista del Norte,503,CUESTA LA VILLA,0.0,,,2791,107
TF-226,El Bicho,505,ESPERANZA HUER.BICHO,0.0,,,903,31
TF-226,Agua García,507,COLEGIO AGUAGARCIA,0.0,,,1354,26
TF-228,El Cantillo,509,AGUAGARCIA CASAS ALTAS,0.0,,,2302,44
TF-235,Cruz Chica,511,CRUZ CHICA P.CARRET,0.0,5077,4797,9874,189
TF-235,Campo de Golf,513,SUPREMA-CRUZ CHICA,47.74,3575,3104,6679,192
TF-237,Acceso a la Esperanza,515,CRUZ CHICA-EL ORTIGAL,0.0,5064,4867,9931,190
TF-237,Acceso a el Cantillo,517,BCO L. LAJAS-TACORONTE,0.0,,,5586,107
TF-237,Agua García,519,AGUAGARCIA CR.TF-228,0.0,,,5818,111
TF-24,Acceso a Llano del Moro,202,Túnel de la Tf-24,62.62,9088,8337,17425,894
TF-24,Camino el Mataero,203,BALDIOS-PANASCA,52.01,8842,8918,17760,600
TF-24,La Esperanza,205,ESPERANZA-HORNILLO,0.0,,,8856,299
TF-24,Acceso a Las Rosas,207,LA ESPERANZA.(CASA FORESTAL),0.0,,,3457,117
TF-24,Las Raices,209,ESPERANZA CRUCE TF-276,0.0,,,2221,75
TF-24,Acceso a Arafo,211,ANTES CRUCE LOS LOROS,0.0,,,976,33
TF-24,Izaña,213,PASADO CRUCE LOS LOROS,0.0,,,893,30
TF-24,El Portillo,215,PORTILLO VIEJO LAGUNA,0.0,,,1243,33
TF-245,Arafo,523,ARAFO (LA HIDALGA),0.0,,,6114,98
TF-247,Acceso a Malpaís,525,A MALPAIS,0.0,,,1392,22
TF-247,Acceso a Las Cuevecitas,527,A LAS CUEVECITAS,0.0,,,772,12
TF-247,Araya,529,ANTES DE ARAYA,0.0,467,448,915,15
TF-247,Carretera General del Sur,531,LA PUNTA-ARAYA,0.0,,,1659,27
TF-252,Intersección TF-4122 con ramal de enlace,533,ANTES COLEG. IGUESTE,0.0,,,623,10
TF-252,Acceso a Carretera General,535,DESPUÉS COLEG. IGUESTE,0.0,,,2970,48
TF-254,Barranco Hondo,537,A BARRANCO HONDO,0.0,,,3628,58
TF-256,El Tablero,539,EL TABLERO,0.0,,,7819,179
TF-263,Geneto,543,POLVORÍN GENETO,0.0,,,5254,120
TF-265,Acceso a la Esperanza,545,LA LAGUNA C. NURIANA,0.0,,,7456,252
TF-265,Acceso al cementerio de San Luis,547,CIUDAD DEPORTIVA TEN.,0.0,,,10921,369
TF-265,Llano del Moro,549,LLANO DEL MORO,0.0,,,5246,120
TF-272,Llano del Moro,553,EL SOBRADILLO,0.0,,,5109,117
TF-272,La Esperanza,555,LLANO MORO-ESPERANZA,0.0,,,2982,101
TF-274,Escuela Hogar,557,PREVENTORIO-ESPERANZA,0.0,,,1300,44
TF-276,Las Raices,559,LAS RAICES,0.0,,,222,8
TF-28,Acceso a el Tablero,217,ANTES CRUCE S. MARIA M.,0.0,,,10665,244
TF-28,Tabaiba,220,PASANDO CRUCE EL TABLERO,0.0,,,4693,108
TF-28,Barranco Hondo,221,TABAIBA-BCO. HONDO,0.0,,,995,16
